Procuraduría Agraria 	 procuraduria-agraria 	 Ubicación geográfica de las Delegaciones y Residencias 	 http://www.pa.gob.mx/datosabiertos/Direcciones-Delegaciones-y-residencias-PA.csv 	 200 	 0 	 Wed Jan 13 11:53:15 CST 2016
INECC 	 inecc 	 Tabla de emisiones de gases de efecto invernadero (GEI) de 2008. 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2008.zip 	 200 	 2 	 Wed Jan 13 11:53:56 CST 2016
INECC 	 inecc 	 Tabla de emisiones de gases de efecto invernadero (GEI) de 1998. 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/1998.zip 	 200 	 2 	 Wed Jan 13 11:53:58 CST 2016
INECC 	 inecc 	 Tabla de emisiones de gases de efecto invernadero (GEI) de 2002. 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2002.zip 	 200 	 2 	 Wed Jan 13 11:54:00 CST 2016
INECC 	 inecc 	 Tabla de emisiones de gases de efecto invernadero (GEI) de 1991. 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/1991.zip 	 200 	 2 	 Wed Jan 13 11:54:02 CST 2016
INECC 	 inecc 	 Tabla de emisiones de gases de efecto invernadero (GEI) de 1993. 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/1993.zip 	 200 	 1 	 Wed Jan 13 11:54:03 CST 2016
INECC 	 inecc 	 Tabla de emisiones de gases de efecto invernadero (GEI) de 2000. 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2000.zip 	 200 	 2 	 Wed Jan 13 11:54:05 CST 2016
INECC 	 inecc 	 Tabla de emisiones de gases de efecto invernadero (GEI) de 2003. 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2003.zip 	 200 	 2 	 Wed Jan 13 11:54:07 CST 2016
INECC 	 inecc 	 Tabla de emisiones de gases de efecto invernadero (GEI) de 2004. 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2004.zip 	 200 	 2 	 Wed Jan 13 11:54:09 CST 2016
INECC 	 inecc 	 Tabla de emisiones de gases de efecto invernadero (GEI) de 2005. 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2005.zip 	 200 	 2 	 Wed Jan 13 11:54:11 CST 2016
INECC 	 inecc 	 Tabla de emisiones de gases de efecto invernadero (GEI) de 2010. 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2010.zip 	 200 	 1 	 Wed Jan 13 11:54:12 CST 2016
INECC 	 inecc 	 Tabla de emisiones de gases de efecto invernadero (GEI) de 2011. 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2011.zip 	 200 	 2 	 Wed Jan 13 11:54:14 CST 2016
INECC 	 inecc 	 Tabla de emisiones de gases de efecto invernadero (GEI) de 2012. 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Inventario_Nacional_de_Gases_de_Efecto_Invernadero/Tabla_de_emisiones_de_GEI_de_1990_a_2012/2012.csv 	 200 	 2 	 Wed Jan 13 11:54:16 CST 2016
INECC 	 inecc 	 Datos ecotoxicológicos de sustancias químicas inorganicas 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Sustancias_Quimicas/Datos_Ecotox/inorganicas.zip 	 200 	 1 	 Wed Jan 13 11:54:17 CST 2016
INECC 	 inecc 	 Datos ecotoxicológicos de sustancias químicas inórganicas 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Sustancias_Quimicas/Datos_Ecotox/inorganicas.zip 	 200 	 2 	 Wed Jan 13 11:54:19 CST 2016
INECC 	 inecc 	 Datos ecotoxicológicos de sustancias Orgáno - Metálicas 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Sustancias_Quimicas/Datos_Ecotox/Organometalicas.zip 	 200 	 2 	 Wed Jan 13 11:54:21 CST 2016
INECC 	 inecc 	 Datos ecotoxicológicos de sustancias químicas Polimeros 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Sustancias_Quimicas/Datos_Ecotox/Polimeros.zip 	 200 	 4 	 Wed Jan 13 11:54:25 CST 2016
INECC 	 inecc 	 Datos ecotoxicológicos de sustancias Sales Metal Orgánicas 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Sustancias_Quimicas/Datos_Ecotox/Sales_Metal_organicas.zip 	 200 	 2 	 Wed Jan 13 11:54:27 CST 2016
INECC 	 inecc 	 Cantidades reportadas en fuentes oficiales de sustancias químicas,Auditorías ambientales de la PROFEPA 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Sustancias_Quimicas/Cantidades_importadas_o_producidas_segun_fuente/SUSTANCIAS_QUIMICAS-CANTIDADES_PRODUCIDAS_IMPORTADAS_SEGUN_FUENTE-PROFEPA-2009.csv 	 200 	 2 	 Wed Jan 13 11:54:29 CST 2016
INECC 	 inecc 	 Cantidades reportadas en fuentes oficiales de sustancias químicas, Pedimentos de importación de Aduanas 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Sustancias_Quimicas/Cantidades_importadas_o_producidas_segun_fuente/SUSTANCIAS_QUIMICAS-CANTIDADES_PRODUCIDAS_IMPORTADAS_SEGUN_FUENTE-PEDIMENTOS_ADUANALES-2009.csv 	 200 	 1 	 Wed Jan 13 11:54:30 CST 2016
INECC 	 inecc 	 Cantidades reportadas en fuentes oficiales de sustancias químicas, Cédula de Operación Anual de la SEMARNAT 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Sustancias_Quimicas/Cantidades_importadas_o_producidas_segun_fuente/SUSTANCIAS_QUIMICAS-CANTIDADES_PRODUCIDAS_IMPORTADAS_SEGUN_FUENTE-COA_FEDERAL-2009.csv 	 200 	 2 	 Wed Jan 13 11:54:32 CST 2016
INECC 	 inecc 	 Identidad química 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Sustancias_Quimicas/Identidad_Quimica/IDENTIDAD-QUIMICA.csv 	 200 	 2 	 Wed Jan 13 11:54:34 CST 2016
INECC 	 inecc 	 Datos ecotoxicológicos de sustancias químicas organicas 	 http://datos.abiertos.inecc.gob.mx/Datos_abiertos_INECC/Sustancias_Quimicas/Datos_Ecotox/Organicas.zip 	 200 	 2 	 Wed Jan 13 11:54:36 CST 2016
Procuraduría Agraria 	 procuraduria-agraria 	 Inventario Institucional de Datos de Procuraduría Agraria 	 https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/1285/Inventario_General_BD_PA.xlsx 	 200 	 0 	 Wed Jan 13 11:54:37 CST 2016
Procuraduría Agraria 	 procuraduria-agraria 	 Plan de Apertura Institucional de Procuraduría Agraria 	 http://adela.datos.gob.mx/plan-de-apertura/procuraduria-agraria/export.csv 	 200 	 0 	 Wed Jan 13 11:54:37 CST 2016
HRAEO 	 hraeo 	 Plan de Apertura Institucional de HRAEO 	 http://adela.datos.gob.mx/plan-de-apertura/hraeo/export.csv 	 200 	 0 	 Wed Jan 13 11:54:37 CST 2016
HRAEO 	 hraeo 	 Inventario Institucional de Datos de HRAEO 	 https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/1276/inventario_general_de_datos.xlsx 	 200 	 0 	 Wed Jan 13 11:54:37 CST 2016
CONAPO 	 conapo 	 Flujo de migrantes procedentes de Guatemala a México 2014 	 http://www.conapo.gob.mx/work/models/OMI/Datos_Abiertos/EMIF_SUR_2014/Proc_Guatemala_MEX/PGUA_2014.csv 	 200 	 1 	 Wed Jan 13 11:54:38 CST 2016
CONAPO 	 conapo 	 Flujo de migrantes devueltos por las autoridades migratorias estadounidenses a El Salvador 2014 	 http://www.conapo.gob.mx/work/models/OMI/Datos_Abiertos/EMIF_SUR_2014/Dev_auto_migr_EUA_El_Salvador/ASAL_2014.csv 	 200 	 0 	 Wed Jan 13 11:54:38 CST 2016
CONAPO 	 conapo 	 Flujo de migrantes devueltos por las autoridades migratorias mexicanas a Honduras 2014 	 http://www.conapo.gob.mx/work/models/OMI/Datos_Abiertos/EMIF_SUR_2014/Dev_auto_migr_MEX_Honduras/FHON_2014.csv 	 200 	 0 	 Wed Jan 13 11:54:38 CST 2016
