"dep"|"slug"|"rec"|"rec_url"
"PRODECON"|"prodecon"|"Resumen de representación legal y defensa"|"http://www.prodecon.gob.mx/datosAbiertos/CSV/representacion_legal_y_defensa/Representacion_Legal_y_Defensa_Por_Medio_de_Presentacion.csv"
"PRODECON"|"prodecon"|"Resumen de quejas y reclamaciones"|"http://www.prodecon.gob.mx/datosAbiertos/CSV/quejas_y_reclamaciones/QUEJAS_Y_RECLAMACIONES_POR_TIPO_DE_PROMOVENTE.csv"
"CIAD"|"ciad"|"Cursos"|"http://datos.ciad.mx/datos/docencia/cursos.csv"
"CIAD"|"ciad"|"Tesis"|"http://datos.ciad.mx/datos/docencia/tesis.csv"
"CIAD"|"ciad"|"Practicas y Servicios"|"http://datos.ciad.mx/datos/docencia/practicasyservicios.csv"
"CIAD"|"ciad"|"Acreditaciones"|"http://datos.ciad.mx/datos/vinculacion/acreditaciones.csv"
"CIAD"|"ciad"|"Productos derivados de Convenios"|"http://datos.ciad.mx/datos/vinculacion/productosconvenios.csv"
"CIAD"|"ciad"|"Indicadores de Impacto"|"http://datos.ciad.mx/datos/vinculacion/indicadoresdeimpacto.csv"
"CIAD"|"ciad"|"Artículos de Divulgación"|"http://datos.ciad.mx/datos/vinculacion/articulosdedivulgacion.csv"
"CIAD"|"ciad"|"Capítulos de Divulgación"|"http://datos.ciad.mx/datos/vinculacion/capitulosdedivulgacion.csv"
"CIAD"|"ciad"|"Libros de Divulgación"|"http://datos.ciad.mx/datos/vinculacion/librosdedivulgacion.csv"
"CIAD"|"ciad"|"Boletines"|"http://datos.ciad.mx/datos/vinculacion/boletines.csv"
"CIAD"|"ciad"|"Folletos"|"http://datos.ciad.mx/datos/vinculacion/folletos.csv"
"CIAD"|"ciad"|"Visitas guiadas"|"http://datos.ciad.mx/datos/vinculacion/visitasguiadas.csv"
"CIAD"|"ciad"|"Medios masivos de comunicación"|"http://datos.ciad.mx/datos/vinculacion/mediosmasivos.csv"
"IIE"|"iie"|"Tabla de Derechos de Autor del Instituto de Investigaciones Eléctricas desde su creación a la fecha"|"http://www.iie.org.mx/IIE_site/docu/datos-abiertos/Derechos-de-autor.csv"
"IIE"|"iie"|"Tabla de Patentes vigentes del Instituto de Investigaciones Eléctricas"|"http://www.iie.org.mx/IIE_site/docu/datos-abiertos/Patentes-vigentes.csv"
"IIE"|"iie"|"Tabla de Publicaciones del Instituto de Investigaciones Eléctricas"|"http://www.iie.org.mx/IIE_site/docu/datos-abiertos/Publicaciones-Ponencias.csv"
"IIE"|"iie"|"Información del Sector Eléctrico"|"http://www.iie.org.mx/IIE_site/docu/datos-abiertos/Boletin-IIE.csv"
"IIE"|"iie"|"Información del Sector Eléctrico"|"http://www.iie.org.mx/IIE_site/docu/datos-abiertos/Informe-anual-IIE.csv"
"IIE"|"iie"|"Inventario Institucional de Datos de IIE"|"http://www.iie.org.mx/IIE_site/docu/datos-abiertos/Inventario-institucional-de-datos.xlsx"
"IIE"|"iie"|"Plan de Apertura Institucional de IIE"|"http://www.iie.org.mx/IIE_site/docu/datos-abiertos/Plan-de-apertura.csv"
"Estado de Veracruz"|"estado-de-veracruz"|"El indicador muestra la poblacion interna de los Centros de Reinsercion Social del Estado que esta se encuentra trabajando y en capacitacion a junio del 2015"|"https://www.dropbox.com/s/s2xq4i4kox26u5l/Reinsercion_Social_Trabajo_y_Capacitacion_julio2015.csv?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"ciclones que han impactado al estado de Veracruz"|"https://www.dropbox.com/s/u6zsi4iws5aw5xl/CICLONES%20TROPICALES%20QUE%20HAN%20IMPACTADO%20A%20VERACRUZ%20PERIODO%201999-2014.xlsx?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"areas privadas de conservacion"|"https://drive.google.com/folderview?id=0B87bmmJLaLIgfjVnSG5rVFRjVzc0eUtOb1lscUpwamtUN19hMXVXNDIxVi1fU1lFNHhiLUE&usp=sharing&tid=0B87bmmJLaLIgfjcxYVVqSF9YVnpjcmh6M2dfVkRfYWNUb2tUNE5rRDl0QXR5bVpoa3hwTUk"
"Estado de Veracruz"|"estado-de-veracruz"|"Beneficiados totales en los Programas y subprogramas de Prevencion del Delito y Proximidad Ciudadana"|"https://www.dropbox.com/s/a86jfzc1x8jgkrj/Prevencion_Delito_Beneficiados_programas_subprogramas_2015.csv?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"localidades con peligro volcanico citlaltepetl"|"https://www.dropbox.com/s/klb87jyreqqjcr5/LOCALIDADES%20CON%20PELIGRO%20VOLCANICO%20CITLALTEPETL.xlsx?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"Beneficiados en los Programas de Prevencion del Delito y Proximidad Ciudadana"|"https://www.dropbox.com/s/nvtbinrs2d30inr/Prevencion_Delit_Beneficiados_Totales_2015.csv?dl=0"
